time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-98.0314,-158.9324,-93.9253,-94.5809,-90.1388,-95.8398,-94.9213,-94.4412,-93.8239,-91.1121,-91.3083,-94.6002,49.4251,37.4888,23.8654,8.7047,-10.0864,-22.9607,-41.6233,-42.9964,-52.3466,-63.9919,-71.9556,-4.7694,-3.0829,-8.8113,-3.7239,-6.9927,-2.0796,-3.5047,-30.4668,67.1286,-6.1494,-0.93632,-3.4077,-5.8428,-1.8777,-4.6342,-1.2766,-5.9107,-4.6508,-3.5429,-4.5116,-8.5982,-3.4598,-3.5128,-2.9574,-4.2022,0.69331,0.23908,-5.1154,-5.688,-1.8875,-3.5107,-6.5804,-3.4674,-0.37063,-2.3069,-0.081884,-2.5337,-4.8911,-1.0515,-1.6931,-3.7203
0.004,-101.5378,-159.4466,-98.0898,-98.6482,-95.3768,-98.3148,-97.2799,-95.6245,-98.3582,-95.1881,-94.1924,-95.3571,45.9663,33.6191,21.7392,7.5298,-10.9081,-27.5609,-44.8317,-45.4929,-56.653,-67.2108,-74.7928,-4.8239,-3.7194,-8.5062,-3.5524,-6.5785,-2.2505,-3.079,-29.6551,68.9711,-6.596,-0.8081,-3.5669,-6.2079,-2.1912,-5.5416,-1.1737,-5.8788,-4.2114,-3.5504,-4.662,-9.7369,-4.0139,-3.1599,-2.6755,-4.036,0.1173,-0.19541,-4.7847,-5.9357,-1.5062,-3.5619,-5.4931,-3.7927,-0.62214,-2.0491,0.49408,-2.6512,-5.5744,-0.53494,-0.70598,-4.1232
0.006,-102.2466,-159.045,-96.2557,-95.9774,-96.411,-94.8767,-93.1523,-90.3742,-97.6229,-92.7145,-90.3382,-90.1293,45.9548,35.7344,23.9124,11.8261,-12.7617,-25.1746,-41.6204,-45.0216,-56.2558,-65.2588,-72.265,-4.5582,-3.4214,-9.2962,-4.1538,-6.8684,-2.4198,-4.6038,-29.8269,70.097,-7.1171,-0.90344,-2.4834,-6.3489,-2.3871,-5.9341,-1.9435,-5.6305,-4.8768,-4.1671,-3.7521,-10.03,-3.717,-3.5636,-3.3725,-3.146,-1.1749,-0.41651,-5.455,-4.8833,-1.9502,-4.9785,-6.2997,-4.152,-0.79385,-2.1128,0.051678,-2.58,-5.6293,-1.5271,-2.1213,-4.1509
0.008,-99.3769,-159.251,-95.0723,-98.1535,-91.4425,-90.3613,-90.254,-90.2566,-90.914,-88.3375,-88.7659,-91.0781,51.232,40.1996,25.9839,11.3589,-12.4979,-20.2172,-38.9682,-43.314,-51.9821,-61.4775,-70.1945,-4.344,-2.9066,-9.1981,-4.5125,-6.8698,-2.1385,-4.9754,-29.6203,71.2568,-7.1027,-0.66221,-1.9321,-6.5155,-2.2407,-5.2502,-2.9538,-5.5123,-4.7581,-3.2028,-3.5736,-10.9169,-2.8556,-2.689,-2.9903,-3.1711,0.49522,-0.097089,-5.5672,-4.927,-2.7771,-5.096,-6.5048,-4.8091,-1.3338,-2.0498,-1.0936,-2.9432,-5.6799,-1.3245,-2.88,-3.3238
0.01,-100.3519,-159.4514,-100.0207,-101.4041,-93.8184,-93.4864,-94.2941,-96.6706,-93.2339,-93.0981,-93.8345,-97.2019,49.0901,36.5858,23.0031,7.308,-11.2435,-23.5089,-43.3248,-45.6721,-54.0249,-65.2868,-72.1444,-4.1916,-2.5631,-8.6708,-4.4015,-7.3911,-1.9771,-4.4439,-29.7186,70.8804,-7.3231,-1.2265,-2.0937,-6.2525,-2.8773,-5.7668,-2.9884,-5.66,-4.2024,-4.0596,-3.6257,-10.1327,-2.8603,-2.77,-2.6301,-3.7841,0.28035,-0.53024,-5.6969,-5.1712,-3.4982,-3.9112,-6.8827,-4.5936,-0.98286,-1.6838,-0.5213,-2.8875,-5.9942,-0.97454,-2.4595,-2.65
0.012,-102.4933,-159.5624,-99.1204,-97.3611,-96.8152,-93.6103,-93.5913,-95.8636,-99.153,-96.4324,-93.6783,-95.3073,44.739,35.6882,23.2196,9.9661,-12.3215,-25.1238,-41.7009,-45.0966,-56.0547,-66.1314,-70.4982,-4.5146,-2.3547,-8.966,-4.1068,-8.4022,-2.5674,-3.9642,-29.7075,70.8835,-7.1576,-1.9397,-3.1448,-7.4043,-2.477,-6.5267,-2.1993,-6.8097,-4.0301,-5.0006,-4.5711,-9.9431,-3.6868,-3.1714,-2.7092,-3.7273,-0.40004,-0.71856,-5.9705,-5.1108,-2.6682,-5.0128,-6.9852,-4.6226,-0.52652,-1.7468,-0.59106,-2.7025,-5.2525,-2.0246,-1.9511,-2.9025
0.014,-99.4897,-159.1911,-94.9995,-96.5727,-92.0552,-90.9417,-93.7202,-95.2233,-96.4477,-94.0518,-92.0262,-95.0695,48.4677,38.7433,24.8657,10.9311,-11.9016,-22.3692,-39.303,-42.8281,-52.6475,-62.582,-69.7946,-4.829,-2.4052,-8.4819,-3.8549,-7.7281,-2.5565,-2.9386,-30.2166,70.4311,-7.0231,-1.6191,-3.0648,-6.8996,-1.2123,-5.1033,-1.4384,-6.155,-3.5692,-3.3428,-5.8356,-9.587,-3.7639,-2.5018,-2.7155,-2.5374,0.19501,0.079315,-5.8326,-5.5292,-1.5571,-4.9145,-6.6273,-4.5895,-0.78706,-1.4289,-0.95399,-2.7488,-4.477,-1.5694,-2.444,-3.0224
0.016,-99.9971,-158.6489,-94.7818,-94.964,-92.0244,-93.6652,-96.3876,-95.4944,-95.8031,-93.3506,-92.0998,-95.9252,49.1154,37.8918,24.589,10.475,-11.1101,-23.6945,-40.7599,-43.1938,-53.1843,-63.4187,-71.8349,-5.1724,-2.7693,-9.034,-3.773,-7.1711,-2.9134,-3.7074,-30.4601,69.16,-6.5368,-1.7987,-2.2244,-5.6181,-2.5454,-4.2006,-1.7352,-5.7342,-4.5874,-3.6012,-5.1703,-8.8615,-3.4613,-2.4094,-2.9324,-3.2339,-0.076233,0.11908,-5.7534,-5.7462,-2.0903,-4.7578,-6.9336,-4.684,-1.0514,-2.0269,-0.39514,-2.5645,-5.0795,-0.94351,-3.4994,-3.3345
0.018,-101.7479,-158.2432,-93.9483,-93.2012,-93.4539,-95.3714,-95.6202,-95.4648,-96.2579,-91.976,-92.1718,-95.3381,49.0687,38.1767,25.2626,10.534,-10.8108,-23.5943,-40.5087,-43.5348,-53.7008,-64.0242,-72.1644,-4.9234,-2.482,-8.9259,-3.3887,-7.6774,-2.7622,-4.4356,-29.0979,69.3897,-7.1771,-0.98841,-2.3329,-6.8303,-3.1176,-4.1869,-1.4778,-6.6268,-5.4284,-3.077,-3.7257,-9.5373,-3.3382,-2.3308,-2.4923,-3.8055,0.35883,0.27329,-5.43,-5.8975,-2.7168,-5.5157,-6.7689,-5.0812,-0.83525,-2.364,-0.29789,-3.3351,-5.2939,-1.3782,-2.7956,-3.9601
0.02,-101.5012,-158.6026,-95.4847,-97.2909,-95.21,-97.4903,-96.1427,-96.9183,-96.7169,-93.3593,-93.9794,-97.0312,48.9981,36.9974,24.1513,9.153,-11.0106,-23.7107,-42.7313,-44.433,-54.1407,-65.1072,-73.3978,-4.7404,-2.455,-7.6541,-3.6819,-7.1333,-2.4068,-3.8193,-28.2853,69.2829,-8.0675,0.30914,-2.7923,-7.2112,-2.3783,-4.3354,-1.4826,-5.8828,-5.0293,-2.456,-3.3801,-9.3543,-3.6789,-2.5249,-2.2511,-3.7782,0.82361,-0.088048,-5.086,-5.9267,-2.2869,-4.2709,-7.0051,-4.2125,-0.39848,-1.643,-0.43819,-3.2544,-4.5459,-1.1319,-2.6128,-3.9615
