time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-186.9691,-89.4602,-190.9625,-188.2913,-182.1899,-182.0813,-182.993,-182.3342,-183.5719,-180.8287,-180.6721,-182.8306,107.3608,80.8294,53.3609,23.8936,1.9165,-42.8382,-79.4806,-90.4454,-104.7295,-126.4889,-140.3253,-4.706,-2.628,-8.5977,-3.7552,-7.5948,-2.3621,-3.6586,-52.5779,144.7539,-6.5142,-0.10875,-2.5745,-5.8716,-2.8193,-4.7532,-2.0827,-6.2844,-5.245,-3.332,-4.2721,-8.8131,-3.8795,-2.226,-1.5813,-3.1397,0.82309,1.0949,-4.0512,-4.6841,-2.7172,-3.1309,-6.5271,-4.0642,-0.60383,-1.5761,-0.35753,-2.548,-4.5818,-1.2461,-2.8528,-3.0387
0.004,-195.7222,-90.6182,-187.0094,-185.139,-187.1308,-183.4754,-180.6634,-179.8062,-184.3822,-180.2931,-178.5257,-181.2821,102.9967,77.9783,52.6104,24.7218,0.56014,-45.2655,-80.1576,-92.5828,-109.2552,-129.4159,-142.551,-4.5055,-2.7682,-9.188,-3.8393,-7.5692,-2.763,-3.3174,-53.4032,145.0756,-6.986,-0.96319,-2.3263,-5.5788,-2.5986,-5.0764,-3.1417,-6.5017,-4.3758,-3.8183,-4.9491,-9.7105,-3.9375,-2.9779,-2.283,-4.3218,-0.35141,0.44086,-5.5282,-5.7561,-2.685,-4.1495,-7.3716,-4.3907,-1.1466,-2.4927,-0.96159,-3.0709,-5.3214,-1.554,-2.0872,-4.1342
0.006,-196.4232,-90.7741,-184.0669,-184.0824,-186.07,-179.1611,-175.3334,-175.126,-180.3252,-175.6044,-173.3987,-176.1539,103.7377,80.0759,54.7192,26.6727,0.10246,-43.2735,-77.7063,-91.6085,-107.9203,-128.3205,-141.4217,-4.1239,-3.3192,-8.2067,-3.6484,-7.7865,-2.8634,-3.5586,-54.3778,146.3809,-6.9057,-1.9123,-1.7117,-6.5154,-3.24,-5.3762,-2.8276,-6.4067,-4.5583,-3.5698,-4.2531,-9.6052,-3.5059,-3.6527,-3.1799,-4.7387,-0.75486,0.14075,-5.8447,-5.7311,-2.4946,-4.9824,-7.7298,-4.6961,-0.25554,-2.6974,-1.1339,-3.5006,-4.8344,-1.9623,-2.655,-4.2967
0.008,-193.2779,-90.6294,-186.5527,-183.5201,-182.1719,-179.7423,-175.0609,-173.097,-177.8207,-175.6075,-173.3742,-174.8806,105.5281,79.9201,53.7512,26.2239,1.394,-44.5218,-79.4216,-93.2019,-108.1146,-129.2823,-143.2801,-4.7816,-2.6778,-7.7612,-3.3015,-7.7464,-2.1031,-3.5541,-55.161,145.7975,-6.9469,-1.7871,-1.3042,-6.2984,-3.2965,-5.8576,-1.5166,-5.2178,-5.2838,-3.2218,-3.1667,-8.9167,-3.4717,-3.0142,-2.1599,-3.4487,-0.89367,0.40603,-5.2654,-4.8083,-3.2453,-5.1376,-6.8558,-4.1976,0.1508,-2.0114,-0.28027,-3.1833,-4.7225,-1.3894,-2.458,-3.5293
0.01,-191.4554,-90.7685,-184.4871,-177.8137,-178.6009,-176.9153,-172.8583,-170.8122,-176.0313,-173.0271,-170.5146,-172.1086,107.225,82.7171,57.202,30.2902,1.2553,-42.2665,-76.0894,-90.7349,-107.2976,-126.7856,-141.4956,-5.2096,-2.1789,-9.2927,-3.8679,-7.4626,-2.6233,-3.9629,-55.7624,146.2762,-6.7595,-1.2167,-2.1613,-5.9131,-2.4831,-6.8998,-0.96267,-4.4659,-3.467,-3.8643,-3.7145,-8.8222,-3.7976,-2.2513,-2.4029,-2.855,-0.69537,0.047877,-5.4152,-5.4923,-3.2351,-4.8848,-7.0437,-3.8889,-0.50885,-1.4745,-0.8063,-2.7661,-5.6191,-0.97623,-3.2144,-2.8278
0.012,-189.2863,-90.1392,-181.9791,-178.003,-172.1497,-173.4161,-174.3559,-175.5704,-172.7683,-171.8017,-171.0005,-174.2167,110.0748,84.9078,57.4542,27.2946,1.0118,-39.1399,-75.4885,-88.7105,-103.0261,-124.222,-140.0254,-4.911,-2.5903,-8.6516,-3.7474,-7.8829,-3.2126,-4.2439,-54.6304,146.3509,-6.1509,-1.2167,-2.3532,-5.7384,-2.4129,-5.9472,-1.0528,-5.1386,-3.817,-3.0833,-3.0021,-8.5352,-4.0297,-2.3856,-2.6343,-3.6609,0.21905,0.57,-5.4395,-5.7659,-2.084,-4.6823,-6.75,-3.9285,0.36414,-1.6688,-0.70228,-1.8349,-5.4868,-0.76151,-3.1054,-2.2876
0.014,-190.135,-89.9912,-183.6553,-181.1114,-175.0742,-179.2095,-181.4283,-178.8584,-177.998,-176.864,-175.6347,-177.059,106.6259,80.2474,52.7708,22.3702,2.0575,-43.4631,-80.0994,-90.9901,-106.677,-128.6344,-143.5614,-5.2285,-2.5262,-8.7046,-3.449,-7.9337,-2.1897,-3.7457,-54.2278,146.9889,-6.719,-1.0434,-2.4722,-5.5764,-2.4647,-5.5991,-1.9692,-5.4998,-5.4389,-3.7024,-2.7696,-8.4514,-4.3818,-2.6285,-2.5762,-3.842,0.16034,0.7048,-4.7912,-4.7327,-1.9852,-4.1598,-6.5637,-2.975,0.57522,-2.3911,-0.043254,-2.2359,-5.3693,-1.3435,-2.7366,-2.5765
0.016,-191.014,-90.2823,-182.2996,-179.808,-179.7919,-181.1343,-178.3667,-176.6336,-178.1286,-176.1845,-174.0874,-175.9026,104.3537,79.483,53.5846,25.0816,-0.14409,-44.4761,-79.1633,-90.7692,-109.8085,-129.0582,-143.1416,-5.7256,-2.5882,-8.772,-4.1812,-7.958,-1.7226,-4.1882,-53.8199,148.1488,-7.1459,-0.94233,-3.0653,-5.2254,-3.0073,-6.659,-2.7953,-5.8209,-4.1397,-4.2163,-3.9768,-8.1421,-3.8095,-2.775,-3.0035,-3.7629,0.2694,0.029795,-4.5526,-4.3244,-2.7375,-4.8432,-6.6903,-3.0841,-0.046721,-2.1894,0.53332,-2.5737,-5.8035,-1.9905,-2.7345,-2.6965
0.018,-190.7513,-89.7337,-183.5683,-183.9642,-180.4127,-179.4448,-177.3483,-179.5623,-175.8958,-174.8558,-174.8588,-179.3441,104.9267,79.2315,51.6887,22.1773,-1.122,-44.8472,-80.545,-92.9095,-108.9749,-129.5251,-144.4877,-4.7714,-2.5241,-8.3932,-3.5152,-7.582,-1.6368,-4.0891,-53.0958,146.8004,-6.9882,0.21057,-2.8385,-5.2796,-2.8511,-5.9238,-2.5836,-5.2561,-4.2462,-2.2766,-3.5846,-9.0096,-3.4653,-2.4202,-2.1654,-3.6638,0.84063,0.41301,-4.4946,-4.7111,-2.2516,-4.9792,-6.824,-3.2506,0.45159,-1.8994,0.013202,-2.175,-6.7987,-1.4911,-1.9014,-2.23
0.02,-192.514,-89.9177,-183.3554,-182.6999,-181.6319,-179.3517,-178.94,-177.1084,-180.4246,-176.775,-175.1794,-176.5017,101.3398,77.2068,50.6459,23.5928,0.48247,-47.008,-80.5286,-94.7173,-112.3088,-131.366,-145.1858,-5.0062,-2.6095,-9.1987,-3.0123,-7.3697,-1.954,-3.6924,-53.1904,144.8277,-6.7682,0.23224,-2.0384,-6.7205,-3.1284,-4.7055,-2.6247,-5.3952,-5.1922,-1.8812,-3.803,-9.8075,-3.3207,-2.4527,-2.577,-3.2284,0.39447,0.75709,-4.9534,-5.7728,-2.435,-4.5086,-7.1448,-3.5132,0.70038,-1.8431,-1.1496,-2.7331,-6.7931,-1.3011,-2.705,-2.7199
