time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-41.9229,-116.9742,-31.2224,-31.297,-30.1133,-26.352,-29.2554,-29.3737,-31.1887,-23.144,-11.5257,12.2023,-288.9997,-277.4541,-278.2852,-291.2598,-141.379,-261.4636,-233.6664,-211.6489,-168.112,-140.9212,-107.8987,-5.6784,-2.7333,-8.8273,-3.9825,-7.6221,-2.4872,-3.503,-59.6413,129.5554,-6.5541,-0.43325,-2.5025,-6.3181,-2.21,-5.0725,-3.6602,-5.3488,-4.6357,-3.2971,-3.9966,-8.3295,-3.571,-2.9132,-2.911,-4.2419,0.43718,0.86743,-4.8682,-6.4087,-2.5424,-4.8159,-6.6974,-3.9479,-0.83453,-2.1464,-0.76988,-2.2858,-4.9041,-1.275,-3.1877,-3.3028
0.004,-38.8997,-117.3242,-31.0076,-31.3633,-28.2699,-25.4913,-28.9932,-29.9501,-29.3811,-21.5929,-11.1474,12.2109,-286.6215,-275.183,-276.9104,-290.0871,-143.2005,-259.6431,-233.1044,-211.7585,-162.5294,-139.0652,-106.2491,-5.0236,-3.8822,-9.3185,-4.1171,-8.2267,-3.465,-3.7713,-60.6241,127.9352,-7.2683,0.3842,-2.4612,-6.4553,-1.9049,-4.8388,-3.5234,-4.8623,-3.7823,-3.1286,-3.7865,-8.8312,-3.4415,-2.2115,-2.8326,-4.375,1.2319,0.089076,-4.9182,-5.7609,-2.4586,-4.4782,-6.5629,-3.6845,-0.84357,-2.3474,-0.067038,-2.6428,-4.8605,-0.94305,-2.0942,-3.0039
0.006,-39.5755,-116.7097,-33.0978,-32.3346,-29.4626,-28.4687,-31.7223,-33.2478,-29.8832,-23.9048,-13.4131,9.2629,-286.9242,-278.3956,-279.9087,-291.5551,-142.2017,-261.8118,-236.4639,-213.6689,-161.2638,-140.3811,-106.8885,-5.3455,-3.3242,-8.6888,-4.0787,-8.2467,-2.5403,-3.902,-60.8553,128.0822,-6.4897,-0.3506,-2.3138,-5.6879,-2.4314,-4.7032,-3.401,-4.8687,-4.1223,-3.3731,-3.3529,-7.8842,-3.9716,-2.0333,-2.2424,-3.2277,0.87876,-0.13007,-5.7389,-4.8083,-1.8763,-4.179,-5.9658,-3.278,-0.69203,-1.8646,-0.074435,-2.7618,-5.1483,-1.3188,-1.9901,-3.317
0.008,-42.0476,-116.1232,-32.9623,-31.9999,-31.1204,-28.6177,-31.2065,-32.5154,-30.5689,-24.2021,-12.5085,9.8162,-288.5175,-278.0037,-278.832,-291.6355,-140.8935,-261.3761,-235.6443,-213.1412,-160.1599,-143.3167,-108.4871,-5.5047,-2.601,-8.1794,-3.8871,-6.3798,-2.13,-3.9884,-59.1789,131.5319,-6.5353,-0.40274,-2.2266,-5.4765,-2.7286,-5.7017,-3.0459,-5.4895,-5.1235,-1.9324,-2.8855,-8.0584,-4.315,-2.6294,-3.1086,-3.3948,1.3676,0.27545,-5.7125,-5.6346,-2.1043,-4.8567,-6.4634,-2.8918,-0.40331,-1.433,-0.15545,-2.1507,-5.1582,-1.4558,-2.781,-3.7834
0.01,-42.4225,-116.6801,-31.5258,-31.805,-31.1679,-27.9361,-30.7165,-31.1099,-30.8519,-25.2881,-12.9435,10.0929,-288.6734,-276.511,-277.7307,-290.6074,-141.2074,-259.5234,-233.3047,-211.6896,-165.2586,-142.6932,-108.0386,-4.8179,-2.6095,-8.6099,-3.8514,-6.3055,-2.2253,-3.8201,-58.6173,130.6029,-7.5375,-0.51745,-2.5754,-5.4095,-3.1962,-5.5206,-2.5427,-5.2921,-5.4925,-2.91,-3.573,-8.1811,-3.8317,-2.2816,-3.4864,-3.6343,0.59124,-0.0086302,-4.9813,-6.0769,-2.9248,-6.3178,-6.9625,-2.7383,-0.21408,-1.9387,-0.34567,-2.3608,-5.0864,-2.509,-2.6804,-2.8094
0.012,-42.0196,-117.6238,-32.6501,-31.7707,-31.5199,-28.3513,-31.2968,-30.454,-32.0709,-25.7182,-14.0483,10.0524,-288.5183,-276.5212,-278.3013,-289.7739,-142.0399,-261.4599,-234.2664,-211.9131,-165.1054,-144.5227,-108.302,-4.3332,-3.7832,-8.8632,-3.4696,-7.1481,-2.1213,-3.4271,-59.1922,127.7567,-7.1554,-1.2114,-2.2836,-6.4433,-3.644,-4.7178,-2.6699,-5.2818,-5.6352,-4.9388,-3.9147,-8.1338,-3.6727,-1.9685,-3.4026,-3.859,-0.42081,0.16171,-4.7001,-6.165,-2.4131,-5.7232,-6.5676,-3.8291,-0.65358,-2.162,-0.5381,-3.1231,-5.2271,-1.9898,-2.3419,-3.1992
0.014,-40.2169,-117.9067,-32.8728,-32.4088,-29.6206,-27.2339,-30.9938,-32.2354,-30.6575,-22.8506,-14.3575,8.987,-286.8139,-275.8247,-277.3866,-291.6519,-142.2318,-260.856,-234.2731,-211.855,-163.5855,-142.8807,-107.8456,-4.0447,-4.1541,-9.3565,-3.6143,-7.0381,-2.1024,-3.3941,-60.9484,127.9067,-6.8059,-1.4801,-3.0931,-7.2267,-2.6633,-5.4738,-2.2834,-5.6971,-4.753,-3.268,-3.5813,-8.7251,-3.544,-1.9847,-2.9119,-4.2382,0.48751,0.81226,-4.8734,-6.8046,-1.6232,-3.7758,-7.4865,-4.4093,-0.931,-2.0707,-0.86353,-4.2563,-4.7795,-0.97272,-2.5192,-3.6713
0.016,-42.7849,-117.1196,-34.1191,-33.8825,-31.5796,-30.1005,-33.6728,-34.4357,-32.7679,-25.9694,-16.3094,7.7758,-289.6986,-278.9257,-279.3911,-293.2659,-142.4064,-263.4273,-236.5279,-215.1619,-171.9913,-142.0654,-111.1584,-4.4161,-2.7255,-10.0142,-3.6634,-7.612,-2.7208,-4.0778,-62.0043,127.5442,-7.5751,-0.87447,-3.4111,-6.8885,-1.6922,-6.5846,-2.0265,-5.0006,-5.1012,-1.8432,-3.0336,-9.614,-3.7355,-2.1444,-2.8029,-3.8139,0.29456,0.97141,-4.176,-6.1997,-1.7031,-3.6189,-7.5742,-4.385,-0.31436,-1.5739,-0.43926,-3.0606,-4.6634,-0.96635,-2.8584,-2.5303
0.018,-43.1301,-116.3445,-33.1778,-33.5614,-31.3336,-29.3719,-32.5056,-33.3102,-33.4048,-25.7643,-14.4964,9.4967,-291.2364,-278.067,-277.8443,-291.3808,-142.7835,-262.9659,-235.2513,-215.1423,-172.0975,-141.7329,-111.5359,-5.3295,-1.9603,-9.8162,-3.6605,-7.542,-3.2308,-4.8329,-61.2794,126.2996,-7.0447,-0.44127,-2.401,-7.0153,-2.3749,-6.7486,-2.9123,-4.5419,-4.4534,-2.4171,-3.257,-8.3702,-3.4391,-3.2217,-3.2536,-3.7984,0.48447,0.93165,-4.0938,-4.7355,-2.2219,-4.1366,-7.6405,-4.3939,0.25482,-1.6043,-0.50913,-2.0956,-4.2263,-0.91549,-2.8999,-3.0777
0.02,-42.1248,-116.6562,-34.6491,-34.3609,-30.7568,-29.7762,-32.8507,-34.9092,-32.5829,-25.3978,-16.1276,7.1218,-289.1358,-278.0529,-278.7414,-292.873,-142.5758,-262.8264,-235.7187,-214.5101,-166.4621,-142.8484,-110.4007,-5.4865,-2.5298,-8.2052,-4.3799,-7.5256,-3.0503,-4.0876,-59.6258,126.3751,-7.2618,0.23979,-1.8714,-6.2503,-3.3213,-5.2833,-3.2569,-4.1122,-3.0898,-3.7918,-3.5109,-7.5658,-3.1736,-2.9572,-2.9173,-3.7193,-0.18744,1.4453,-4.5306,-5.4923,-2.6082,-4.7895,-7.6548,-3.4792,-0.30529,-1.0644,-0.20003,-2.4254,-4.5353,-0.88159,-2.6557,-3.3994
